,state,kind,sex,neutralization,color,birth,weight,number,period,location,feature,center,department
0,완료(귀가),[개] 진도견,암컷,,흰색,2018,15,울산-북구-2021-00037',2021-03-01~2021-03-11,아진 프라자 상가,비많이 맞았음,쿨펫 홈플러스 북구점,울산광역시 북구청
1,종료(자연사),[개] 진도견,수컷,,회색(호피무늬),2020,15,전북-정읍-2021-00095,2021-03-01~2021-03-11,옹동면 비봉리 산성교회 인근 야산,경계심이 강함,정읍시 동물보호소,전라북도 정읍시청
2,완료(귀가),[개] 진도견,수컷,0.0,흰색,2018,30.0,전남-여수-2021-00110,2021-03-02 ~2021-03-12,연등 소방서,온순함. 봉산동 산골식당 옆에서 발견.,유기동물보호소,전라남도 여수시청
3,완료(귀가),[개] 진도견,암컷,0.0,흰색,2020,7,대구-서구-2021-00037,2021-03-02 ~2021-03-12,서대구로7길 84 드림마트,4개월령 추정. 녹색 천목걸이. 온순.,대구수의사회,대구광역시 서구청
4,완료(귀가),[개] 진도견,암컷,,흰색,2018,15,전북-장수-2021-00019,2021-03-02~2021-03-77,천천면 장척웃담길,허리에 올무가 매어져 방재펜스에 걸려 있었음,제이준동물병원,전라북도 장수군청
5,보호중,[개] 진도견,암컷,0.0,흰색,2018,9.8,전남-여수-2021-00111,2021-03-02 ~2021-03-12,소라면 대곡길 159 주택,빨간색 목띠. 철고리줄 착용. 꼬리 및 다리 부상 심해 병원 진료|,유기동물보호소,전라남도 여수시청
6,보호중,[개] 진도견,수컷,0.0,흰색,2019,19.8,울산-북구-2021-00038,2021-03-03 ~ 2021-03-15,북구 호계동 1023번지 인근,엄청순함/진도믹스,울산유기동물보호센터,울산광역시 북구청
7,완료(입양),[개] 진도견,수컷,0.0,백색,2020,15,전남-진도-2021-00011,2021-03-03 ~ 2021-03-10,진도군 고군면 지막길 20-3,없음,진도개메디컬센터,전라남도 진도군청
8,완료(귀가),[개] 진도견,암컷,0.0,갈색,2019,13,대구-수성-2021-00060,2021-03-03 ~2021-03-15,황금동812-1,순하고 잘 따름,제니스동물병원,대구광역시 수성구청
9,보호중,[개] 진도견,암컷,,흰색,2018,15,충북-청주-2021-00181,2021-03-03 ~2021-03-15,주중동497-19,머리 부위 상처로 봉합수술,반려동물보호센터,충청북도 청주시청
10,완료(입양),[개] 진도견,암컷,,갈색,2021,,충남-계룡-2021-00010,2021-03-03 ~ 2021-03-15,충남 계룡시 엄사면 번영로 113-32,갈색의 진도견,계룡시유기동물보호소,충정남도 계룡시청
11,완료(입양),[개] 진도견,수컷,0.0,황색,2015,230,경북-문경-2021-00060,2021-03-03 ~2021-03-10,신기동네,순함,종합가축병원,경상북도 문경시정
12,보호중,[개] 진도견,암컷,,백,2021,9,대전-대덕-2021-00044,2021-003-04~2021-03-15,대전광역시 대덕구 오정동 37-1번지 주변,2마리 동시구조,대전동물보호센터,대전광역시 대덕구청
13,완료(입양),[개] 진도견,수컷,0.0,흰색,2017,7,경남-남해-2021-00057,2021-03-05 ~2021-03-15,경남 남해군 고현면 이순신순국공원,"경계심이 강함, 사람 위협(야생들개)",남해군유기동물보호소,경상남도 남해군청
14,보호중,[개] 진도견,암컷,0.0,갈색,2016,18,강원-원주-2021-00147',2021-03-04~2021-03-15,장양리버스종점,목줄착용,원주유기동물보호센터,강원도 원주시청
15,완료(입양),[개] 진도견,수컷,0.0,검정색,2021,1.3,전남-여수-2021-00118,2021-03-04~2021-03-15,심곡길17 마을회관 입구,1개월령. 온순함.,유기동물보호소,전라남도 여수시청
16,완료(입양),[개] 진도견,암컷,0.0,검갈색,2021,1.2,전남-여수-2021-00119,2021-03-04~2021-03-15,심곡길17 마을회관 입구,1개월령. 온순함.,유기동물보호소,전라남도 여수시청
17,완료(입양),[개] 진도견,수컷,0.0,검회색,2021,1.4,전남-여수-2021-00120,2021-03-04~2021-03-15,심곡길17 마을회관 입구,(입양예정)1개월령. 온순함.,유기동물보호소,전라남도 여수시청
18,보호중,[개] 진도견,암컷,0.0,갈색,2018,19.7,울산-동구-2021-00039,2021-03-05~2021-03-15,동구 전하119,순함,울산유기동물보호센터,울산광역시 동구청
19,종료(자연사),[개] 진도견,수컷,0.0,흰색,2021,2,전북-익산-2021-00250,2021-03-06 ~2021-03-16,익산시함라면와우길35,생후60일정도 순하고잘생겼음,익산유기동물보호소,전라북도 익산시청
20,종료(안락사),[개] 진도견,수컷,0.0,흰색,2017,18,충북-음성-2021-00036,2021-03-09 ~2021-03-17,금왕읍 행제리 19-296,살던집에 불이나 노인이 키우기 어려워져 버려짐 사나움,테오종합동물병원,충청북도 음성군청
21,보호중,[개] 진도견,수컷,,흰색,2019,,경북-영양-2021-00012,2021-03-09 ~ 2021-03-19,영양읍 한골길 453,사람을 잘따름,영양군유기동물보호소,경상북도 영양군청
22,보호중,[개] 진도견,암컷,,백,2016,17.00,대전-유성-2021-00047,2021-03-12 ~2021-03-22,용산동 푸르지오하임 2단지 @ 주변,양호,대전동물보호센터,대전광역시 유성구청
23,종료(안락사),[개] 진도견,암컷,1.0,갈색,2018,18,경기-평택-2021-00439,2021-03-05 ~2021-03-15,내천리 3483,"칩내장, 중성화",평택시유기동물보호소,경기도 평택시청
24,종료(안락사),[개] 진도견,암컷,1.0,갈색,2018,17,경기-평택-2021-00440,2021-03-05 ~2021-03-15,내천리 3483,"칩내장, 중성화",평택시유기동물보호소,경기도 평택시청
25,완료(귀가),[개] 진도견,수컷,0.0,흰색,2017,20,경기-평택-2021-00441,2021-03-05 ~2021-03-15,안중 119,경계심함,평택시유기동물보호소,경기도 평택시청
26,완료(입양),[개] 진도견,암컷,0.0,호피,2019,16.9,경기-파주-2021-00138,2021-03-05~2021-03-15,상지석동 551-36 인근,갈색목줄착용. 사람을 잘따름,파주독 애견호텔,경기도 파주시청
27,보호중,[개] 진도견,수컷,0.0,호피색,2021,6.5,전북-전주-2021-00273,2021-03-05 ~2021-03-15,서낭당회전교차로,호피색칼라,동부동물병원,전라북도 전주시청
28,종료(안락사),[개] 진도견,암컷,0.0,흰색,2021,10,충남-금산-2021-00018,2021-03-08 ~2021-03-18,부리면 기물리길 19,없음,월드동물병원,충청남도 금산군청
29,완료(입양),[개] 진도견,암컷,,갈색,2020,15,세종-세종-2021-00050,2021-03-06 ~2021-03-15,연서면 와촌리 227,"진도믹스, 율무 상처 수술",세종유기동물보호센터,세종특별자치시정
30,보호중,[개] 진도견,암컷,,호피,2015,15,경기-고양-2021-00181,2021-03-08 ~2021-03-18,지영동 38211 주연채널,"모자달린빨간색옷, 국방색가슴줄착용, 임시보호중",고양시동물보호센터,경기도 고양시청
31,종료(안락사),[개] 진도견,수컷,0.0,흰색,2021,10,충남-금산-2021-00021,2021-03-08 ~2021-03-18,부리면 기물리길 19,약 6개월령,월드동물병원,충청남도 금산군청
32,완료(귀가),[개] 진도견,수컷,0.0,흰색,2014,14,부산-북구-2021-00038,2021-03-07~2021-03-77,구청당직실,북구1-24호,부산동물보호센터,부산광역시 북구청
33,종료(자연사),[개] 진도견,암컷,0.0,흰색,2019,16,전남-장성-2021-00087',2021-03-07~2021-03-17,황룡면 행복마을앞 횡단보도,로드킬. 도착당시 이미 사망. 안구돌출.다량의 출혈.장기파열.,장성군동물보호센터,전라남도 장성군청
34,보호중,[개] 진도견,수컷,0.0,흰색,2020,15,전남-장성-2021-00089,2021-03-07~2021-03-17,진원면 보건지소 뒤편,사람을 너무 잘따름. 엄청난 애교쟁이. 일단 배부터 까고봄. 헬,장성군동물보호센터,전라남도 장성군청
35,보호중,[개] 진도견,암컷,0.0,하양,2019,17.5,경남-함안-2021-00048,2021-03-07~2021-03-15,가야읍 함마대로 1834,"빨간 철물점목걸이 착용 , 온순함",함안군동물보호소,경상남도 함안군청
36,종료(자연사),[개] 진도견,암컷,,하양,2021,2.0,경남-함안-2021-00049,2021-03-07~2021-03-15,법수면 대송3길 70-17,"기력이 없음, 피부도 전반적으루 좋치 못함",함안군동물보호소,경상남도 함안군청
37,보호중,[개] 진도견,암컷,0.0,하양,2021,2.3,경남-함안-2021-00066,2021-03-07~2021-03-15,"대산면 고운길 23 , 구 대산초등학교 앞","임시보호중 / 설사,구토,겁많음",함안군동물보호소,경상남도 함안군청
38,종료(자연사),[개] 진도견,암컷,0.0,하양,2021,2.4,경남-함안-2021-00067,2021-03-07~2021-03-15,"대산면 고운길 23 , 구 대산초등학교 앞","설사,구토,겁많음",함안군동물보호소,경상남도 함안군청
39,종료(자연사),[개] 진도견,수컷,0.0,"하양,갈색",2021,2.5,경남-함안-2021-00068,2021-03-07~2021-03-15,"대산면 고운길 23 , 구 대산초등학교 앞","설사,구토,기력없음",함안군동물보호소,경상남도 함안군청
40,보호중,[개] 진도견,암컷,,흰색,2019,,충남-홍성-2021-00109,2021-03-08 ~2021-03-15,홍성읍 홍장북로 442-1 노상,없음,금일동물보호센터,충청남도 홍성군청
41,종료(안락사),[개] 진도견,암컷,0.0,흰색,2019,20,경기-평택-2021-00455,2021-03-08 ~2021-03-18,고덕 파출소,분홍목줄착용,평택시유기동물보호소,경기도 평택시청
42,종료(자연사),[개] 진도견,수컷,0.0,흰색,2018,20,경기-하남-2021-00066,2021-03-08 ~2021-03-18,119당직실,교통사고 상태심함,하남동물병원,경기도 하남시청
43,완료(입양),[개] 진도견,암컷,0.0,갈색,2021,2,경기-하남-2021-00068,2021-03-08 ~2021-03-18,천현동53,2달애기,하남동물병원,경기도 하남시청
44,종료(자연사),[개] 진도견,암컷,0.0,갈색,2021,2,경기-하남-2021-00067,2021-03-08 ~2021-03-18,천현동53,2달애기,하남동물병원,경기도 하남시청
