,state,kind,sex,neutralization,color,birth,weight,number,period,location,feature,center,department
0,완료(입양),[개] 진도견,수컷,0.0,크림색,2020,5.20,경기-여주-2021-00008,2021-01-01~2021-01-11,매룡동 명성로 부부농장가든,"겁이 다소 있음, 온순함",위더스 동물보호센터,경기도 여주시청
1,보호중,[개] 진도견,암컷,0.0,황색,2020,6.00,경기-여주-2021-00009,2021-01-01~2021-01-11,매룡동 명성로 부부농장가든,"겁이 다소 있음, 온순함",위더스 동물보호센터,경기도 여주시청
2,종료(자연사),[개] 진도견,수컷,0.0,흰색,2020,5.50,경기-여주-2021-00010,2021-01-01~2021-01-71,매룡동 명성로 부부농장가든,"겁이 다소있음, 온순함",위더스 동물보호센터,경기도 여주시청
3,종료(자연사),[개] 진도견,수컷,0.0,흰색,2020,5.50,경기-여주-2021-00011,2021-01-01~2021-01-71,매룡동 명성로 부부농장가든,"겁이 다소있음, 온순함",위더스 동물보호센터,경기도 여주시청
4,종료(자연사),[개] 진도견,수컷,0.0,"연갈색, 크림색",2019,16.50,경기-여주-2021-00019,2021-01-01~2021-0171,산북면 상품로,"겁이 다소 있음, 온순함",위더스 동물보호센터,경기도 여주시청
5,완료(입양),[개] 진도견,수컷,,흰색,2021,14.8,경북-예천-2021-00001,2021-01-04~2021-01-14,풍양면 우망리,"구조시목줄없음, 온순함",예천군유기동물보호소,경상북도 예천군청
6,완료(입양),[개] 진도견,암컷,0.0,흰색,2017,17,강원-원주-2021-00013,2021-01-02 ~2021-01-12,산현연쇄점앞,목줄에 쇠줄 끌고나옴,원주유기동물보호센터,강원도 원주시청
7,완료(귀가),[개] 진도견,암컷,0.0,흰색,2019,18,서울-관악-2021-00002,2021-01-03 ~2021-01-12,은천교회앞공원,"순하고사람잘따름,생리중,집없음",러브펫종합동물병원,서울특별시 관악구정
8,완료(입양),[개] 진도견,수컷,0.0,화이트,2018,15,경남-밑양-2021-00010,2021-01-03 ~2021-01-ㄱ13,하남,눈이 안 보임,밀양시동물보호센터,경상남도 밀양시청
9,완료(입양),[개] 진도견,수컷,0.0,호피,2019,10,경남-밑양-2021-00018,2021-01-03 ~2021-01-ㄱ13,삼량진,붉은 목줄 착용/온순,밀양시동물보호센터,경상남도 밀양시청
10,완료(입양),[개] 진도견,수컷,0.0,호피,2019,10,경남-밀양-2021-00019,2021-01-03 ~2021-01-ㄱ13,삼랑진,녹색 목줄 착용/ 온순,밀양시동물보호센터,경상남도 밀양시청
11,보호중,[개] 진도견,수컷,0.0,백,2019,18,경기-수원-2021-00003,2021-01-04~2021-01-14,칠보중학교 인근,온순하고 착함,수원시 동물보호센터,경기도 수원시청
12,완료(귀가),[개] 진도견,수컷,0.0,갈색,2017,15,대구-수성-2021-00004,2021-01-04~2021-01-ㄱ74,만촌동 형제봉정상,매우야.기력없음,제니스동물병원,대구광역시 수성구청
13,완료(귀가),[개] 진도견,수컷,0.0,흰색,2021,17,경기-고양-2021-00010,2021-01-04~2021-01-ㄱ74,풍동1277-3,적색목줄착용,고양시동물보호센터,경기도 고양시청
14,종료(안락사),[개] 진도견,암컷,0.0,백색,2020,2,충남-태안-2021-00006,2021-01-04~2021-01-18,남면 곰섬로 220-25,순함,최동물병원,충청남도 태안군청
15,완료(입양),[개] 진도견,수컷,0.0,호피무늬,2021,5,인천-중구-2021-00002,2021-01-05~2021-01-15,제2청사당직실,2개월령 추정,신공항동물병원,인천광역시 중구청
16,종료(안락사),[개] 진도견,암컷,,황색,2019,18,대전-동구-2021-00004,2021-0105~2021-01-15,삼성동 103-9 인근,,대전동물보호센터,대전광역시 동구청
17,종료(자연사),[개] 진도견,수컷,0.0,하양,2019,17,경기-안성-2021-00006,2021-01-71 ~2021-01-21,죽산면 장원리 656ㄱ,고리달린 목걸이,이성준동물병원,경기도 안성시청
18,완료(입양),[개] 진도견,수컷,0.0,크림색,2020,3.10,울산-동구-2021-00005,2021-01-05~2021-01-15,화정동 878-5 집앞,.,동울산동물병원,울산광역시 동구청
19,완료(입양),[개] 진도견,수컷,0.0,흰색,2019,20.00,경기-광주-2021-00007,2021-01-05~2021-01-15,광주시 곤지암읍 하열미길 일대,"1-7, 칩없음, 온순한 성격, 잘생김",광주1\0동물병원초월,경기도 광주시청
20,종료(자연사),[개] 진도견,암컷,0.0,호피색,2020,12.00,경기-여주-2021-00026,2021-01-005~2021-01-15,가남읍 화평길 여주휴게소 주유소,"파란색 목띠 착용, 온순함",위더스 동물보호센터,경기도 여주시청
21,종료(자연사),[개] 진도견,수컷,0.0,흰색,2016,22.00,경기-여주-2021-00031,2021-01-05~2021-01-15,매룡동 명성로 부부농장가든,경계심이 많음,위더스 동물보호센터,경기도 여주시청
22,완료(입양),[개] 진도견,암컷,0.0,흰색,2021,2,전북-전주-2021-00017,2021-01-05~2021-01-14,송천동 현대 3차,50일,하나동물병원,전라북도 전주시청
23,완료(입양),[개] 진도견,암컷,0.0,흰색,2021,2,전북-전주-2021-00018,2021-01-05~2021-01-14,송천동 현대3차,50일,하나동물병원,전라북도 전주시청
24,보호중,[개] 진도견,수컷,0.0,백,2019,18,경기-수원-2021-00009,2021-0106~2021-017ㄱ78,권선로 252 (주유소,겁이 많음,수원시 동물보호센터,경기도 수원시청
25,종료(자연사),[개] 진도견,수컷,0.0,흰색,2021,13,전남-무안-2021-00002,2021-01-06 ~2021-01-18,일로 119 안전센터,순함,무안군유기동물보호소,전라남도 무안군청
26,완료(귀가),[개] 진도견,암컷,,흰색,2021,,경북-문경-2021-00004,2021-01-06 ~2021-01-13,산양 위만,40일령 어린강아지 2마리함께,종합가축병원,경상북도 문경시청
27,완료(입양),[개] 진도견,암컷,,흰색,2021,,경북-문경-2021-00005,2021-01-06~2021-01-ㄱ13,산양 위만,40일령 어린강아지 2마리함께,종합가축병원,경상북도 문경시청
