,state,kind,sex,neutralization,color,birth,weight,number,period,location,feature,center,department
0,완료(귀가),[개] 진도견,수컷,0.0,흰색,2016,17.6,경기-성남-2021-00152,2021-04-001~2021-04-72,성남소방서,칩 있어서 주인연락됨.,펫토피아동물병원,경기도 성남시청
1,보호중,[개] 진도견,암컷,0.0,흰색,2018,16,강원-강릉-2021-00125,2021-04(01 ~2021-04-12,영진3길 부영아파트 2단지편의점앞,"빨간색목줄과 쇠리드줄착용,온순함,심장사상충감염",강릉시동물사랑센터,강원도 강릉시청
2,종료(안락사),[개] 진도견,암컷,0.0,화이트,2018,15,경남-밀양-2021-00474,2021-04(01 ~2021-04-12,무안,사람을 잘 따르고 이쁜 아이들/두마리 함께구조,밀양시동물보호센터,경상남도 밀양시청
3,종료(안락사),[개] 진도견,수컷,0.0,화이트,2018,15,경남-밀양-2021-00475,2021-04(01 ~2021-04-12,무안,사람을 잘 따르고 이쁜 아이들/두마리 함께구조,밀양시동물보호센터,경상남도 밀양시청
4,종료(자연사),[개] 진도견,수컷,0.0,흰색,2021,4.5,울산-울주-2021-00206,2021-04002 ~2021-04-12,온양읍 솔밭1길 대우아파트 상가 더마트 앞,경계심 약간 있음,울산유기동물보호센터,울산광역시 울주군정
5,보호중,[개] 진도견,암컷,0.0,흰색,2021,4.2,울산-울주-2021-00207,2021-04002 ~2021-04-12,온양읍 솔밭1길 대우아파트 상가 더마트 앞,경계심 약간 있음,울산유기동물보호센터,울산광역시 울주군정
6,보호중,[개] 진도견,수컷,,흰색,2016,20,강원-춘천-2021-00150,2021-04-02 ~2021-04-12,강원도립화목원 안,"흰색, 온순, 쇠목줄에의한목상처",춘천시 동물보호센터,강원도 춘천시청
7,보호중,[개] 진도견,수컷,0.0,흰색,2018,14.5,강원-강릉-2021-00127,2021-04-02 ~2021-04-12,칠봉로904,목줄없이발견 경계있음,강릉시동물사랑센터,강원도 강릉시청
8,완료(입양),[개] 진도견,수컷,0.0,흰색,2021,5,충북-청주-2021-00280,2021-04-02 ~2021-04-12,가경로 143,"성장 후 사진 변경, 앉아 훈련 가능",반려동물보호센터,충청북도 청주시청
9,완료(귀가),[개] 진도견,암컷,,백색,2020,16,충남-천안-2021-00242,2021-04-005~2021-04-15,차암동 한화꿈에그린 단지내,"파란색 목줄 착용, 순함",유실유기동물보호소,충청남도 천안시청
10,보호중,[개] 진도견,암컷,0.0,흰색,2019,16.00,경기-여주-2021-00179,2021-04-03 ~2021-04-ㄱ13,신진동 신단1길,경계심이 다소있음,위더스 동물보호센터,경기도 여주시청
11,종료(자연사),[개] 진도견,수컷,0.0,흰색,2018,17.00,경기-여주-2021-00189,2021-04-03 ~2021-04-ㄱ13,능서면 중부대로 골든밸리,"몸을 잘 가누지 못함, 경계심이 다소있음",위더스 동물보호센터,경기도 여주시청
12,보호중,[개] 진도견,수컷,0.0,흰색,2019,16,서울-마포-2021-00042,2021-04-005~2021-04-15,상암동 780 인근,"파랑,알록달록한색의 끈착용/매우순하고 착함",홍익동물병원,서울특별시 마포구청
13,종료(자연사),[개] 진도견,암컷,,흰색,2018,21,부산-사하-2021-00119,2021-04-05~2021-04-15,사하 소방서,"들개 추정, 벼룩,진드기(메디룩스살포)",,부산광역시 사하구청
14,보호중,[개] 진도견,암컷,,황,2017,23.00,대전-유성-2021-00081,2021-04-05~2021-04-15,용계동 473-3 번지 주변,양호 (공격성 강함),대전동물보호센터,대전광역시 유성구청
15,완료(귀가),[개] 진도견,수컷,,황,2018,17.00,대전-유성-2021-00082,2021-004-05~2021-04-ㄱ15,안산동 남세종ㅣ6주변,교통사고,대전동물보호센터,대전광역시 유성구청
16,보호중,[개] 진도견,암컷,0.0,백,2016,13,경기-수원-2021-00150,2021-04-05~2021-04-15,장안구 영화로49번길 8,동물등록칩 없음,수원시 동물보호센터,경기도 수원시청
17,종료(자연사),[개] 진도견,수컷,0.0,흰색,2018,18,충북-괴산-2021-00088,2021-04-007~2021-04-19,청천면 도경로 1519,좌측 전지가 올무에 걸려 있어 괴사한 상태였음.,괴산증평동물보호센터,충청북도 괴산군청
18,완료(입양),[개] 진도견,수컷,0.0,흰색갈색,2020,15,전북-진안-2021-00056,2021-04-04~2021-04ㄱ74,진안읍 탄곡길 79,온순함,행복한동물병원,전라북도 진안군청
19,종료(자연사),[개] 진도견,암컷,0.0,하양,2021,4.0,경남-함안-2021-00074,2021-04-04~2021-04-12,법수면 석무길 157 횟집옆,"설사,구토,겁많음",함안군동물보호소,경상남도 함안군청
20,종료(자연사),[개] 진도견,암컷,0.0,하양,2021,4.2,경남-함안-2021-00075,2021-04-04~2021-04-12,법수면 석무길 157 횟집옆,"설사,구토,기력없음",함안군동물보호소,경상남도 함안군청
21,종료(자연사),[개] 진도견,수컷,0.0,하양,2018,18.2,경남-함안-2021-00076,2021-04(04~2021-04-12,여항면 내곡안길 정류장 옆,"부분 피부질환, 온순함",함안군동물보호소,경상남도 함안군청
22,종료(자연사),[개] 진도견,수컷,0.0,하양,2021,4.0,경남-함안-2021-00079,2021-0404~2021-04-12,법수면 대평마을 산소부근,"전신 피부질환 , 설사,구토, 겁많은편",함안군동물보호소,경상남도 함안군청
23,종료(자연사),[개] 진도견,수컷,0.0,하양,2021,5.0,경남-함안-2021-00092,2021-04(04~2021-04-ㄱ12,가야읍 혈곡2길 20-3,"설사,구토, 부분피부질환 , 겁많음",함안군동물보호소,경상남도 함안군청
24,종료(자연사),[개] 진도견,암컷,0.0,하양,2021,7.0,경남-함안-2021-00098,2021-04(04~2021-04-12,가야읍 도항리,"설사, 기력없음, 온순함",함안군동물보호소,경상남도 함안군청
25,보호중,[개] 진도견,암컷,0.0,하양,2019,16.3,경남-함안-2021-00101,2021-04-04~2021-04-12,칠북면 하천길 259,"부분 피부질환, 온순함",함안군동물보호소,경상남도 함안군청
26,보호중,[개] 진도견,수컷,0.0,"갈색,하양",2018,13.2,경남-함안-2021-00104,2021-0404~2021-04-12,,겁많은편 이나 호전가능,함안군동물보호소,경상남도 함안군청
27,종료(자연사),[개] 진도견,수컷,0.0,"갈색,하양",2018,15.7,경남-함안-2021-00105,2021-0404~2021-04-12,산인면 부봉리 228 농장,"목줄착용, 겁 많은편이나 호전가능",함안군동물보호소,경상남도 함안군청
28,완료(입양),[개] 진도견,암컷,0.0,노랑,2019,18.50,인천-중구-2021-00128,2021-04-005~2021-04-15,신흥동삼익아파트주변,"빨간목줄에 체인줄하고있고,양호한편이나 몸 못 만지게 으르",경동동물병원,인천광역시 중구청
29,종료(자연사),[개] 진도견,암컷,0.0,흰색,2015,15.0,부산-연제-2021-00061,2021-04-005~2021-04-15,월드컵대로 201,"쇠약(빨간목줄), 연제구 1-28",청조동물병원,부산광역시 연제구청
30,완료(귀가),[개] 진도견,암컷,,흰색,2019,15.8,경기-성남-2021-00164,2021-04-005~2021-04-15,시흥동4ㄱ7,"침있음,주인연락 됨",펫토피아동물병원,경기도 성남시청
31,완료(입양),[개] 진도견,암컷,0.0,호피색,2021,2,경기-하남-2021-00118,2021-04-005~2021-04-15,신장로103,순하고귀여움,하남동물병원,경기도 하남시청
32,종료(안락사),[개] 진도견,암컷,,흰색,2019,,강원-춘천-2021-00153,2021-04-005~2021-04-15,후평 291-7 (부근),"흰색, 경계심이 많음, 물에빠짐",춘천시 동물보호센터,강원도 춘천시청
33,보호중,[개] 진도견,암컷,,갈색,2017,13,충북-청주-2021-00291,2021-004-05~2021-04-ㄱ15,청주 교대,"목걸이에 소원이라고 이름이 적혀있음, 순함",반려동물보호센터,충청북도 청주시청
34,완료(귀가),[개] 진도견,수컷,,갈색,2018,18,,2021-04-006 ~2021-04-ㄱ16,미추홀구 용현동 181-4,"주인반환완료, 칩등록, 목줄착용",인천광역시 수의사회,인천광역시 미추홀구청
35,완료(귀가),[개] 진도견,수컷,0.0,흰색,2018,13,경기-고양-2021-00314,2021-04(06~2021-047ㄱ76,정발산동1320,"부상견,",고양시동물보호센터,경기도 고양시청
36,완료(귀가),[개] 진도견,수컷,,흰색,2014,25,경북-김천-2021-00084,2021-04-007~2021-04-19,남면 초곡1길 147-5,체인목,김천시 동물보호센터,경상북도 김천시청
37,완료(입양),[개] 진도견,수컷,,흰색,2020,18,경북-김천-2021-00085,2021-04-007~2021-04-19,신음동 우방1차 옆,"파란목줄, 온순함",김천시 동물보호센터,경상북도 김천시청
38,보호중,[개] 진도견,암컷,,흰색,2016,,강원-횡성-2021-00068,2021-04-08 ~2021-04-19,우천면 정금서1길 128,오른쪽 앞다리 피부병,횡성유기동물보호센터,강원도 횡성군청
39,종료(자연사),[개] 진도견,수컷,0.0,갈색,2018,20,대구-수성-2021-00099,2021-04-07~2021-04-19,상동교밑,교통사고.기립불능,제니스동물병원,대구광역시 수성구청
40,완료(귀가),[개] 진도견,암컷,,흰색,2019,15,충북-청주-2021-00296,2021-04-07~2021-04-19,원평동 고가차도 위,"뒷다리 쪽에 약간 찰과상이 있음, 겁이많고 순함",반려동물보호센터,충청북도 청주시청
41,완료(입양),[개] 진도견,암컷,,흰색,2019,,충남-홍성-2021-00150,2021-04-07~2021-04-14,홍성읍 고암리 596번지,없음,금일동물보호센터,충청남도 홍성군청
42,완료(귀가),[개] 진도견,암컷,0.0,흰색,2019,17,경북-김천-2021-00083,2021-04-007~2021-04-19,영남대로 1840,"교통사고, 빨간목테, 뒷다리탈구",김천시 동물보호센터,경상북도 김천시청
43,보호중,[개] 진도견,암컷,0.0,황,2016,23,경기-수원-2021-00168,2021-04-08 ~2021-04-19,장안구 서부로 2308 (파장119안전센터),동물등록칩×,수원시 동물보호센터,경기도 수원시청
44,완료(입양),[개] 진도견,암컷,0.0,흰색,2019,13,전북-익산-2021-00398,2021-004-08 ~2021-047ㄱ79,익산시남중동상공회의소,검정색목태을하고있고 순한편임,익산유기동물보호소,전라북도 익산시청
45,보호중,[개] 진도견,암컷,0.0,흰색,2019,2019,경남-통영-2021-00124,2021-04-08 ~2021-04-19,노전마을,"최근 출산(3/13경),자견 10마리와 함께 입소,적색 목테착용",사랑애완동물병원,경상남도 통영시청
46,보호중,[개] 진도견,암컷,0.0,흰색,2021,2021,경남-통영-2021-00125,2021-04-08 ~2021-04-19,노전마을,"생후 25일령 자견,모견과 형제자견 10마리 함께 입소",사랑애완동물병원,경상남도 통영시청
47,보호중,[개] 진도견,암컷,0.0,흰색,2021,2021,경남-통영-2021-00126,2021-04-08 ~2021-04-19,노전마을,"생후 25일령 자견,모견과 형제자견 10마리 함께 입소",사랑애완동물병원,경상남도 통영시청
48,보호중,[개] 진도견,암컷,0.0,흰색,2021,2021,경남-통영-2021-00127',2021-04-08 ~2021-04-19,노전마을,"생후 25일령 자견,모견과 형제자견 10마리 함께 입소",사랑애완동물병원,경상남도 통영시청
49,완료(입양),[개] 진도견,수컷,0.0,검정색,2021,2021,경남-통영-2021-00128,2021-04-08 ~2021-04-19,노전마을,"생후 25일령 자견,모견과 형제자견 10마리 함께 입소",사랑애완동물병원,경상남도 통영시청
50,보호중,[개] 진도견,수컷,0.0,흰색,2021,0.8,경남-통영-2021-00129,2021-04-08 ~2021-04-19,노전마을,"생후 25일령 자견,모견과 형제자견 10마리 함께 입소",사랑애완동물병원,경상남도 통영시청
51,완료(입양),[개] 진도견,암컷,0.0,검정색,2021,2021,경남-통영-2021-00130,2021-04-08 ~2021-04-19,노전마을,"생후 25일령 자견,모견과 형제자견 10마리 함께 입소",사랑애완동물병원,경상남도 통영시청
52,보호중,[개] 진도견,암컷,0.0,흰색,2021,2021,경남-통영-2021-00131,2021-04-08 ~2021-04-19,노전마을,"생후 25일령 자견,모견과 형제자션 10마리 함께 입소",사랑애완동물병원,경상남도 통영시청
53,종료(자연사),[개] 진도견,수컷,0.0,흰색,2021,2021,경남-통영-2021-00132,2021-04-08 ~2021-04-19,노전마을,"생후 25일령 자견,모견과 형제자견 10마리 함께 입소",사랑애완동물병원,경상남도 통영시청
54,완료(입양),[개] 진도견,수컷,0.0,흰색,2021,2021,경남-통영-2021-00133,2021-04-08 ~2021-04-19,노전마을,"생후 25일령 자견,모견과 형제자견 10마리 함께 입소",사랑애완동물병원,경상남도 통영시청
55,종료(자연사),[개] 진도견,암컷,0.0,흰색,2021,2021,경남-통영-2021-00134,2021-04-09 ~2021-04-19,노전마을,"생후 25일령 자견,모견과 형제자견 10마리 함께 입소",사랑애완동물병원,경상남도 통영시청
56,완료(귀가),[개] 진도견,암컷,0.0,황백,2018,20,경기-수원-2021-00171,2021-04008~2021-0479,팔달구 권광로 293(청소년문화센터),소유자 연락 당음,수원시 동물보호센터,경기도 수원시청
57,보호중,[개] 진도견,수컷,0.0,갈색,2016,19,경기-성남-2021-00172,2021-004-08~2021-047ㄱ79,이매동119구조대,중성화 안됨,펫토피아동물병원,경기도 성남시청
58,종료(안락사),[개] 진도견,암컷,,흰색,2015,20.48,충남-서산-2021-00175,2021-04-08 ~2021-04-15,해미면 아담아파트,파란바탕에 붉은 줄무늬 목줄착용. 운동화끈으로 리드줄 함.,성심동물의료센터,충청남도 서산시청
59,보호중,[개] 진도견,수컷,0.0,흰색,2021,5,경북-성주-2021-00097,2021-04-008 ~2021-04-19,수륜면 수성리 104,사람을 너무 좋아하고 순딩이중 순딘,성주유기동물보호센터,경상북도 성주군청
60,완료(귀가),[개] 진도견,암컷,0.0,흰색,2018,20,경남-창원2-2021-00092,2021-04-08~2021-04-ㄱ19,"진북면 삼진의거대로 400-8 (경원오토민, 레디카서비스)",빨간목줄 착용,마산유기동물보호소,경상남도 창원시 마산합포회원구청
61,완료(귀가),[개] 진도견,수컷,0.0,화운,2017,15,경북-상주-2021-00280,2021-04-09 ~ 2021-04-19,상주시 낙양동 마을부근,온순하고 사람을잘따름,상주유기동물보호센터,경상북도 상주시청
62,보호중,[개] 진도견,암컷,,백색,2021,5,대전-동구-2021-00121,2021-04-71~2021-04-21,구도동 물류센터 입구 인근,뒷다리 절음,대전동물보호센터,대전광역시 동구청
63,보호중,[개] 진도견,암컷,,흰색,2019,18,충북-증평-2021-00025,2021-04-13 ~2021-04-23,증평화량마트,건강함,증평가정견훈련소,충청북도 증평군정
64,완료(귀가),[개] 진도견,암컷,0.0,호피색,2019,20,전북-전주-2021-00427,2021-04-10 ~2021-04-19,흑석골 시내버스종점뒤,예민함,동부동물병원,전라북도 전주시청
65,완료(귀가),[개] 진도견,수컷,,흰색,2019,23,인천-남동-2021-00124,2021-04-72~2021-04-22,남동구 예술회관 앞,"활발함, 사람 좋아함",인천수의사회,인천광역시 남동구청
66,보호중,[개] 진도견,암컷,,황백색,2019,8,대전-서구-2021-00124,2021-04-ㄱ72 ~2021-04-22,산직동 370-2 야산 인근,,대전동물보호센터,대전광역시 서구청
67,보호중,[개] 진도견,수컷,0.0,노란색,2018,19.5,전남-여수-2021-00185,2021-04-12~2021-04-22,여수 중앙여고 교내,발견당시 스텐고리 목띠 착용.,유기동물보호소,전라남도 여수시청
68,보호중,[개] 진도견,암컷,0.0,흰색,2021,4.20,경기-이천-2021-00185,2021-04-71 ~2021-04-21,장호원읍 이황리,"겁이다소있으나, 온순함",위더스 동물보호센터,경기도 이천시청
69,종료(자연사),[개] 진도견,암컷,0.0,흰색,2021,3.20,경기-이천-2021-00186,2021-04-71 ~2021-04-21,장호원읍 이황리,"겁이다소 있으나, 온순함",위더스 동물보호센터,경기도 이천시청
70,보호중,[개] 진도견,암컷,0.0,흰색,2021,4.00,경기-이천-2021-00187',2021-04-71 ~2021-04-21,장호원읍 이황리,"겁이다소 있으나, 온순함",위더스 동물보호센터,경기도 이천시청
71,종료(자연사),[개] 진도견,수컷,0.0,흰색,2021,4.50,경기-이천-2021-00188,2021-04-71 ~2021-04-21,장호원읍 이황리,"겁이다소 있으나, 온순함",위더스 동물보호센터,경기도 이천시청
72,종료(자연사),[개] 진도견,암컷,0.0,"황색, 크림색",2021,4.50,경기-이천-2021-00196,2021-04-71 ~2021-04-21,장호원읍 장여로,"겁이 다소있으나, 온순",위더스 동물보호센터,경기도 이천시청
73,종료(자연사),[개] 진도견,수컷,0.0,크림색,2021,5.30,경기-이천-2021-00197,2021-04-71 ~2021-04-21,장호원읍 장여로,"겁이 다소있으나, 온순",위더스 동물보호센터,경기도 이천시청
74,완료(귀가),[개] 진도견,수컷,0.0,갈색,2018,14.8,강원-강릉-2021-00154,2021-04-71~2021-04-21,주문진 우신 아파트 뒤,"목줄과 리드줄 착용, 온순함",강릉시동물사랑센터,강원도 강릉시청
75,완료(입양),[개] 진도견,암컷,0.0,흰색,2021,2,전북-익산-2021-00414,2021-04-12~2021-04-22,익산시남중동익산세무서앞,생후50일정도 순하고잘생겼음,익산유기동물보호소,전라북도 익산시청
76,보호중,[개] 진도견,암컷,0.0,호피색,2020,16.3,강원-강릉-2021-00158,2021-04-12~2021-04-22,두산동 콘테이너(성덕로176번길,목줄없이발견.새끼6마리 포유중,강릉시동물사랑센터,강원도 강릉시청
77,보호중,[개] 진도견,수컷,0.0,갈색과 회색,2018,20,전남-영암-2021-00219,2021-04-73 ~2021-04-23,도포면 장수교회 주변,"사람과 친화적이며, 뒷다리를 다친 상태이다.",유기동물 삼호 보호소,전라남도 영암군청
78,완료(귀가),[개] 진도견,수컷,0.0,아이보리,2014,17.57,충북-단양-2021-00038,2021-04-73 ~2021-04-22,영준면 별방리,"목줄착용, 사나움",단양군유기동물보호소,충청북도 단양군청
79,완료(입양),[개] 진도견,수컷,,흰색,2021,,전남-장성-2021-00136,2021-04-73 ~2021-04-23,동화면 용정리,진도형제 함께구조. 겁이 많아 처음엔 음이 있고 경계를함.,장성군동물보호센터,전라남도 장성군청
80,완료(입양),[개] 진도견,수컷,,흰색,2021,6.5,전남-장성-2021-00137,2021-04-73 ~2021-04-23,동화면 용정리,진도형제 함께구조. 겁이 많아 처음엔 음이 있고 경계를함.,장성군동물보호센터,전라남도 장성군청
81,완료(입양),[개] 진도견,암컷,0.0,흰색,2021,10.00,경북-울진-2021-00129,2021-04-173 ~2021-04-20,매화면 덕신2리,흰색 진도견 5개월정도 추정 온순함,울진군동물보호센터,경상북도 울진군청
82,완료(입양),[개] 진도견,암컷,,백색,2021,,대전-서구-2021-00130,2021-04-74~2021-04-26,,,대전동물보호센터,대전광역시 서구청
83,완료(귀가),[개] 진도견,암컷,0.0,흰색,2017,20,서울-용산-2021-00044,2021-04-74~2021-04-26,보광동 9-1 주택가,양호.,남산동물병원,서울특별시 용산구청
84,완료(귀가),[개] 진도견,수컷,0.0,흰색,2018,24,대구-동구-2021-00074,2021-04-ㄱ74~2021-04-24,효목동 제주 칼치식당 앞,.,대구유기동물보호센터,대구광역시 동구청
85,종료(자연사),[개] 진도견,수컷,0.0,흰색,2021,5.4,울산-남구-2021-00132,2021-04-74~2021-04-26,신복로터리,순함/진드기 있음,울산유기동물보호센터,울산광역시 남구청
86,완료(입양),[개] 진도견,수컷,0.0,노란,2018,20,경기-하남-2021-00136,2021-04-14~2021-04-26,초이동623,순함,하남동물병원,경기도 하남시청
87,완료(입양),[개] 진도견,암컷,0.0,흰색 노랑,2018,,경기-하남-2021-00135,2021-04-14~2021-04-26,초이동623,순함,하남동물병원,경기도 하남시청
88,완료(입양),[개] 진도견,수컷,0.0,흰색,2015,20,전북-전주-2021-00448,2021-04-14~2021-04-23,중화산동 중산3길공원,체인목줄사용,동부동물병원,전라북도 전주시청
89,종료(자연사),[개] 진도견,수컷,0.0,흰색,2019,17.4,전남-순천-2021-00184,2021-04-74~2021-04-26,대대동 진도,"종합백신 접종, 코로나장염 접종, 관경병 접종, 심장사상충 예",순천시유기동물보호소,전라남도 순천시청
90,완료(입양),[개] 진도견,수컷,0.0,흰회색,2020,20.00,경북-울진-2021-00130,2021-04-74~2021-04-21,매화면 동해대로 2850,1살정도 추정 온순하고 친화적,울진군동물보호센터,경상북도 울진군청
91,완료(귀가),[개] 진도견,암컷,,백색,2019,18,대전-서구-2021-00131,2021-004-16~2021-04-26,복수동 과기대 인근,하네스,대전동물보호센터,대전광역시 서구청
92,완료(입양),[개] 진도견,암컷,0.0,흰색,2021,1.5,전북-익산-2021-00418,2021-04-16 ~2021-04-26,익산시송정1길,생후45일정도 순하고이쁘게생겼음,익산유기동물보호소,전라북도 익산시청
93,종료(안락사),[개] 진도견,암컷,0.0,흰색,2018,22,경기-평택-2021-00723,2021-04-15~2021-04-26,장안동 92-7,빨간목줄착용,평택시유기동물보호소,경기도 평택시청
94,보호중,[개] 진도견,수컷,0.0,흰색,2017,15,강원-원주-2021-00235,2021-04-15~2021-04-26,현진4차놀이터,목줄착용. 이마에 상처,원주유기동물보호센터,강원도 원주시청
95,종료(안락사),[개] 진도견,수컷,,갈색,2019,7,충남-논산-2021-00143,2021-04-15~2021-04-26,부적면 마구평리,건강양호,논산시청,충청남도 논산시청
96,보호중,[개] 진도견,암컷,0.0,흰색,2016,20.6,전남-여수-2021-00196,2021-04-15~2021-04-26,안산동 주택가,경계 및 입질 심함.,유기동물보호소,전라남도 여수시청
97,보호중,[개] 진도견,암컷,,흰색,2019,,전남-장성-2021-00144,2021-04-15~2021-04-26,황룡면 뱃나드리로,겁이 너무 많음. 공장으로 들어와 구석에 얼굴을 숨기고 나가,장성군동물보호센터,전라남도 장성군청
98,종료(자연사),[개] 진도견,수컷,,흰색,2020,15,전남-장성-2021-00154,2021-04-15~2021-04-26,삼계면 월연리,많이 아파보인다는 신고접수되어 현장방문 하였으나 이미 사,장성군동물보호센터,전라남도 장성군청
99,보호중,[개] 진도견,수컷,0.0,흰색,2020,12.00,경북-울진-2021-00132,2021-04-75~2021-04-22,매화면 동해대로,흰색진도견으로 너무 순함,울진군동물보호센터,경상북도 울진군청
100,보호중,[개] 진도견,수컷,0.0,흰색,2021,1.5,전북-익산-2021-00426,2021-04-16 ~2021-04-26,익산시신과1길,생후50일정도 작고순하고영리함,익산유기동물보호소,전라북도 익산시청
101,보호중,[개] 진도견,암컷,0.0,흰색,2021,1.5,전북-익산-2021-00427,2021-04-16 ~2021-04-26,익산시신과1길,생후50일정도 순하고영리함,익산유기동물보호소,전라북도 익산시청
