,state,kind,sex,neutralization,color,birth,weight,number,period,location,feature,center,department
0,완료(귀가),[개] 푸들,수컷,1.0,갈색,2017,5.5,충북-청주-2021-00176,2021-03-01~2021-03-11,사창동424,순하고 깨끗한아이,반려동물보호센터,충청북도 청주시청
1,완료(입양),[개] 푸들,암컷,,황,2016,3.00,대전-유성-2021-00046,2021-03-02 ~2021-03-12,봉명동 구)리베라호텔 주변,양호,대전동물보호센터,대전광역시 유성구청
2,보호중,[개] 푸들,수컷,0.0,연한갈색,2019,7,전북-완주-2021-00062,2021-03-07~2021-03-17,운주면 금당리 677-2,사람을굉장히 잘따르고 관리가 필요한상태,태산동물병원,전라북도 완주군정
3,완료(귀가),[개] 푸들,수컷,1.0,갈색,2015,4.2,서울-마포-2021-00022,2021-03-02 ~2021-03-12,한샘상암본사옆 롯데백화점,미용되있음/성대수술/착함,홍익동물병원,서울특별시 마포구청
4,완료(입양),[개] 푸들,암컷,,갈,2017,,광주-남구-2021-00045,2021-03-02 ~2021-03-12,남구 방림동,21-0231 써니,광주 동물보호소,광주광역시 남구청
5,완료(입양),[개] 푸들,수컷,0.0,갈,2017,4,광주-남구-2021-00046,2021-03-02 ~2021-03-12,남구 방림동,21-0232 토비,광주 동물보호소,광주광역시 남구청
6,완료(입양),[개] 푸들,수컷,0.0,갈색,2017,4.40,경기-파주-2021-00122,2021-03-02 ~2021-03-12,맥금동 약수터 주변,빨간색 하네스 목줄 착용. 털엉킴 심함. 온순함,웰니스클리닉,경기도 파주시청
7,완료(입양),[개] 푸들,암컷,0.0,흰색,2017,5,강원-원주-2021-00145,2021-03-02~2021-03-12,덕원단지근처,"미용되어있음, 많이짐",원주유기동물보호센터,강원도 원주시청
8,완료(입양),[개] 푸들,수컷,0.0,황흑백,2019,4,경북-포항-2021-00229,2021-03-02 ~2021-03-12,경상북도 포항시 남구 오천읍 문덕리269-1 인근,"팬럼푸들,몸크기에비해말랐음,가슴부분발가락끝 흰털,미용흔",영일동물플러스,경상북도 포항시청
9,완료(귀가),[개] 푸들,수컷,1.0,갈,2021,,경기-의정부-2021-00051,2021-03-03 ~2021-03-15,장암동 수락리버시티 일대,"양눈백내장/결막염. 치석. 피부질환. 눈곱심함, 온몸털뭉침. 양|",한국동물구조관리협회,경기도 의정부시청
