,state,kind,sex,neutralization,color,birth,weight,number,period,location,feature,center,department
0,종료(안락사),[개] 말티즈,암컷,0.0,"갈,흰",2020,,광주-광산-2020-00893,2020-12-01~2020-12-71,광산구 장수동,20-1684추가,광주 동물보호소,광주광역시 광산구청
1,완료(입양),[개] 말티즈,암컷,0.0,흰,2020,1,광주-광산-2020-00884,2020-12-001 ~2020-12-11,광산구 장덕동,20-1689 애기,광주 동물보호소,광주광역시 광산구청
2,종료(자연사),[개] 말티즈,암컷,0.0,흰,2020,0.5,광주-광산-2020-00894,2020-72-001~2020-12-11,광산구 하남동,20-1695제니,광주 동물보호소,광주광역시 광산구청
3,완료(입양),[개] 말티즈,수컷,0.0,백,2019,3.4,경기-시흥-2020-00757,2020-12-01~2020-12ㄱ74,은행동646 부근,순함.활발함.,한국야생동물보호협회,경기도 시흥시청
4,완료(입양),[개] 말티즈,수컷,1.0,흰색,2019,2.95,경남-통영-2020-00530,2020-12-001~2020-12-11,도천5길 33-11. 두릉초등학교 근처,영국국기 도안 옷 착용,사랑애완동물병원,경상남도 통영시정
5,완료(입양),[개] 말티즈,암컷,,흰,2017,3.1,서울-금천-2020-00171,2020-72-002~2020-12-ㄱ14,시흥대로 291 지하 롯데마트,"양눈눈곱약간.눈물자국.코검정.사람좋아함.양전함,양슬개골",한국동물구조관리협회,서울특별시 금천구청
6,완료(귀가),[개] 말티즈,암컷,,백색,2013,3,대전-대덕-2020-00469,2020-12-02 ~2020-12-14,대전광역시 대덕구 법동 보람애견 주변,실명,대전동물보호센터,대전광역시 대덕구정
7,종료(자연사),[개] 말티즈,암컷,0.0,백,2020,0.8,경기-안양-2020-00376,2020-12-02~2020-12ㄱ74,석수119안전센터에서 인수,"1개월추정,상태안좋음,기립보행불가능,예후불량",한국야생동물보호협회,경기도 안양시청
8,완료(입양),[개] 말티즈,암컷,,백,2013,3,경기-안산-2020-01578,2020-12-02~2020-12-ㄱ74,양상동 275-2 부근,"순함,왼뒷발가락절단추정,오른뒷발가락일부절단추정",한국야생동물보호협회,경기도 안산시청
9,완료(귀가),[개] 말티즈,수컷,1.0,흰색,2013,3,충북-청주-2020-01729,2020-72-002~2020-12-ㄱ14,내수중학교 인근,"피부병(아토피)가 심각한 상태, 넥카라, 미용되어 있음",반려동물보호센터,충청북도 청주시청
10,완료(귀가),[개] 말티즈,수컷,1.0,"흰색,갈색",2013,5,충북-청주-2020-01731,2020-72-002~2020-12-ㄱ14,내수 중학교 인근,"피부병(아토피)가 심각한 상태, 넥카라, 미용되어 있음",반려동물보호센터,충청북도 청주시청
11,완료(귀가),[개] 말티즈,암컷,,흰색,2007,3,인천-남동-2020-00676,2020-12-03 ~2020-12-ㄱ74,남동구 만수동 936-3,피부병있음,인천수의사회,인천광역시 남동구청
12,보호중,[개] 말티즈,암컷,,흰색,2012,3.5,인천-부평-2020-01039,2020-12-03 ~2020-12-14,삼산동 광명아파트 입구 근처,"치석,피부염,시력저하",늘푸른동물병원,인천광역시 부평구정
13,완료(입양),[개] 말티즈,암컷,,흰,2010,2.4,서울-중랑-2020-00246,2020-72004~2020-12-24,신내동 일대 도로,눈곱심함. 네다리미용된. 온순함/양전함. 꼬리단미안됨. 털때,한국동물구조관리협회,서울특별시 중랑구청
