,state,kind,sex,neutralization,color,birth,weight,number,period,location,feature,center,department
0,완료(귀가),[개] 말티즈,수컷,1.0,흰,2014,3,서울-양천-2021-00008,2021-02-01~2021-02-15,목동등촌역부근도로변 (다음27),치석심하며미용되어있고노랑색옷입고있으며온순하고잘따르,강현림동물병원,서물특별시 양천구정
1,보호중,[개] 말티즈,수컷,1.0,흰색,2013,3.8,울산-중구-2021-00010,2021-02-001~2021-02-15,중구 학성동 419번지 인근,순함,울산유기동물보호센터,울산광역시 중구청
2,완료(귀가),[개] 말티즈,수컷,1.0,흰색,2020,2,경기-평택-2021-00224,2021-02-01~2021-02-15,가재동 야산,사람을 잘 따름,평택시유기동물보호소,경기도 평택시청
3,완료(입양),[개] 말티즈,암컷,0.0,흰색,2011,3.9,경기-남양주-2021-00133,2021-02-01~2021-02-15,일패동,미용했고 좌안 염증심함.온순함,남양주동물보호협회,경기도 남양주시청
4,완료(귀가),[개] 말티즈,암컷,,갈색,2018,3,강원-춘천-2021-00052,2021-02-01~2021-02-15,석사 2지구아파트 213동 (놀이터),"갈색, 온순, 남색옷, 칩있음",춘천시 동물보호센터,강원도 춘천시청
5,완료(입양),[개] 말티즈,암컷,,흰색,2017,,강원-춘천-2021-00053,2021-02-001~2021-02-15,소양강로 102,"흰색, 온순, 검은목줄",춘천시 동물보호센터,강원도 춘천시청
6,완료(입양),[개] 말티즈,수컷,1.0,흰색,2015,3.7,충북-청주-2021-00085,2021-02-01~2021-02-15,금천동 효성아파트 부근,깔끔하게 미용되어 있고 조금 소심한 말티친구,반려동물보호센터,충청북도 청주시청
7,완료(귀가),[개] 말티즈,암컷,0.0,흰색,2018,5.00,충남-보령-2021-00028,2021-02-01~2021-02-15,보령경찰서 대천지구대,흰색. 시내에서 습득 주민이 지구대에 놓고 감,보령시임시동물보호소,충청남도 보령시청
8,완료(입양),[개] 말티즈,수컷,0.0,흰색,2014,4.0,경북-구미-2021-00038,2021-02-01~2021-02-15,원평동 원평지구대,"온순,잘따름",구미시 동물보호센터,경상북도 구미시청
9,완료(입양),[개] 말티즈,수컷,0.0,흰색,2015,3.5,부산-서구-2021-00027,2021-02-02 ~2021-02-15,구청당직실,"서구 1-13호,옷착용",부산동물보호센터,부산광역시 서구청
10,완료(귀가),[개] 말티즈,암컷,,흰색,2018,2.5,대구-북구-2021-00019,2021-02-02 ~2021-02-12,칠곡 삼성병원 앞,.,대구유기동물보호센터,대구광역시 북구청
11,완료(귀가),[개] 말티즈,수컷,0.0,흰색,2011,2,충남-천안-2021-00082,2021-02-02~2021-02-15,천안시 서북구 성거읍 주택가,카키색 옷 입고있었음,유실유기동물보호소,충청남도 천안시청
12,완료(입양),[개] 말티즈,암컷,,흰색,2014,4.3,제주-제주-2021-00393,2021-02-02 ~2021-02-15,제주시 노형꿈동물병원,(개체관리번호381)내장칩,제주 동물보호센터,제주특별자치도청
13,보호중,[개] 말티즈,암컷,0.0,화이트,2016,,전북-군산-2021-00121,2021-02-06 ~2021-02-16,대야면 산월리 595-2,뒷다리 양쪽 쓸개골 4기,군산유기동물보호센터,전라북도 군산시청
