,state,kind,sex,neutralization,color,birth,weight,number,period,location,feature,center,department
0,종료(안락사),[개] 진도견,,,,,,대구-달성-2021-00037',2021-02-01~2021-02-15,달성군 가창면 행정리 969-2,경계심 많음,동인동물병원,대구광역시 달성군정
1,완료(귀가),[개] 진도견,수컷,0.0,호피무늬,2018,20,경기-평택-2021-00215,2021-02-01~2021-02-15,비전동 251-15,순함,평택시유기동물보호소,경기도 평택시청
2,종료(안락사),[개] 진도견,수컷,0.0,흰색,2019,20,경기-평택-2021-00225,2021-02-01~2021-02-15,안청로 8길14-7,사람을 잘 따름,평택시유기동물보호소,경기도 평택시청
3,완료(입양),[개] 진도견,암컷,0.0,검은색,2019,6,전북-김제-2021-00034,2021-02-01~2021-02-16,김제시농업기술센터,순하다,전북말산업복합센터,전라북도 김제시정
4,완료(입양),[개] 진도견,수컷,0.0,화이트,2018,20,경북-상주-2021-00027,2021-02-01~2021-02-15,경북 상주시 화산동주택안.,진듯개 숫놈이며 뒷다리부분이 다&8070;#52451(;어요.,상주유기동물보호센터,경상북도 상주시청
5,종료(자연사),[개] 진도견,암컷,0.0,황색,2016,20,충남-천안-2021-00081,2021-02-02~2021-02-15,천안시 서북구 업성동 모두주방,초록 목줄+파란 와이어줄 하고있었음. 젖 불어있음,유실유기동물보호소,충청남도 천안시청
6,종료(자연사),[개] 진도견,암컷,,흰색,2018,,충남-천안-2021-00084,2021-02-02 ~2021-02-15,목천|0 부근 고속도로,색바랜빨간색(베이지)목줄+초록색와이어줄 착용. 발과 목줄,유실유기동물보호소,충청남도 천안시청
7,완료(입양),[개] 진도견,수컷,0.0,흰색,2021,6,전북-익산-2021-00135,2021-02-02 ~2021-02-15,익산시춘포면쌍제1길,생후4개월정도 순하고잘생겼음,익산유기동물보호소,전라북도 익산시청
8,완료(입양),[개] 진도견,수컷,0.0,흰색,2021,6,전북-익산-2021-00136,2021-02-02 ~2021-02-715,익산시준포면쌍제1길,생후4개월정 순하고잘생겼음,익산유기동물보호소,전라북도 익산시청
9,완료(입양),[개] 진도견,암컷,0.0,흰색,2021,5,전북-익산-2021-00140,2021-02-02 ~2021-02-15,익산시춘포면쌍제1길,생후4개월정도 겁이많이있음,익산유기동물보호소,전라북도 익산시청
10,완료(입양),[개] 진도견,암컷,0.0,흰색,2021,6,전북-익산-2021-00141,2021-02-02 ~2021-02-15,익산시춘포면쌍제1길,생후4개월정도 겁이많음,익산유기동물보호소,전라북도 익산시정
11,완료(입양),[개] 진도견,암컷,0.0,흰색,2020,13,경남-사천-2021-00044,2021-02-03 ~2021-02-15,삼천포 동금동,흰 진도견,사천시 동물보호센터,경상남도 사천시청
12,공고중,[개] 진도견,수컷,0.0,황색,2019,20,충북-증평-2021-00059,2021-05-12~2021-05-24,증평읍 증안길 94,"사회성, 이름이 진돌이",피학대동물임시보호소,충청북도 증평군정
