,state,kind,sex,neutralization,color,birth,weight,number,period,location,feature,center,department
48,완료(입양),[개] 푸들,수컷,0.0,갈색,2017,5,충남-공주-2021-00183,2021-05-06 ~2021-05-20,우성면 상서리 공주보,"좌측 다리 절음, 외상,앞다리 골절",이기영수의과병원,충청남도 공주시정
49,완료(입양),[개] 푸들,암컷,,갈색,2018,4.7,충남-서산-2021-00235,2021-05-06 ~2021-05-13,충남 서산시 인지면 애전2리 마을회관,"파란, 빨간색 섞인 방울달린 목걸이 착용, 사상충 있음",서산시 동물보호센터,충청남도 서산시청
50,완료(귀가),[개] 푸들,수컷,1.0,노란색,2017,5.2,전북-전주-2021-00597,2021-05-06 ~2021-05-17,효자동 성원아파트 도로변,흰색 옷 착용,늘푸른동물병원,전라북도 전주시청
51,완료(입양),[개] 푸들,암컷,,갈색,2016,5,전북-정읍-2021-00204,2021-05-06 ~2021-05-17,둘리애견,"온순, 입시보호(입양예정), 등록칩 말소",정읍시 동물보호소,전라북도 정읍시청
52,완료(귀가),[개] 푸들,암컷,1.0,갈색,2017,5.8,경북-경산-2021-00233,2021-05-06 ~2021-05-17,사정동,"경산역 부근에서 배회, 미용이 되어 있음",경산시유기동물보호소,경상북도 경산시정
53,완료(입양),[개] 푸들,수컷,0.0,회색,2017,3.5,대구-남구-2021-00065,2021-05-07~2021-05-ㄱ77,빨래터 부근,미용,대구유기동물보호센터,대구광역시 남구청
54,완료(귀가),[개] 푸들,수컷,1.0,크림색,2017,3.5,충남-천안-2021-00383,2021-05-07~2021-05-17,봉명동,"옷 입고있음, 미용한지 얼마안됨",유실유기동물보호소,충청남도 천안시청
55,완료(입양),[개] 푸들,수컷,0.0,화이트,2018,6.54,충남-서산-2021-00236,2021-05-07~2021-05-14,충남 서산시 대산읍 독곳수등길 바닷가 부근,"순함, 사람 잘따름, 사상중 없음",서산시 동물보호센터,충청남도 서산시청
56,완료(귀가),[개] 푸들,수컷,1.0,화이트,2019,7.32,충남-서산-2021-00240,2021-05-07~2021-05-14,서산시산림조합 부근,"순함, 사람 잘따름",서산시 동물보호센터,충청남도 서산시정
57,완료(귀가),[개] 푸들,암컷,0.0,백색,2017,8,전남-담양-2021-00121,2021-05-007~2021-05-21,담양읍 죽녹원로 130,"검정색 목줄 착용, 미용이 되있음, 온순함",담양군 동물보호 센터,전라남도 담양군청
