,state,kind,sex,neutralization,color,birth,weight,number,period,location,feature,center,department
0,완료(입양),[개] 말티즈,암컷,,흰,2016,4,광주-광산-2021-00001,2021-01-01 ~2021-01-ㄱ11,광산구 하남동,"21-0001 미우,경계",광주 동물보호소,광주광역시 광산구청
1,완료(입양),[개] 말티즈,암컷,,흰색,2020,3,충남-아산-2021-00002,2021-01-01~2021-01-11,초사동 갱티고개 주차장,4호(관리) 2호(공고) 7개월추정 양후지 파행,아산시동물보호센터,충청남도 아산시청
2,완료(입양),[개] 말티즈,암컷,,흰색,2018,2.7,전북-전주-2021-00002,2021-01-01~2021-01-11,평화동 노랑통닭근처 공원,"하복부 피부병, 슬개골, 출산했던 흔적 있음",박영재동물병원,전라북도 전주시청
3,종료(자연사),[개] 말티즈,수컷,1.0,흰색,2020,2.5,경기-고양-2021-00003,2021-01-02 ~2021-01-12,산황동 573-25 부근,눈물자국,고양시동물보호센터,경기도 고양시청
4,완료(귀가),[개] 말티즈,암컷,0.0,백색,2016,3.5,인천-계양-2021-00001,2021-01-005~2021-01-15,도두리 동보아파트 109동앞,안면부 짧게 미용됨,신영재동물병원,인천광역시 계양구청
5,완료(입양),[개] 말티즈,암컷,0.0,흰색,2011,4,경남-거제-2021-00003,2021-01-06 ~2021-01-18,거제면 제일중학교 근처,몸상태안좋음,거제시유기동물보호소,경상남도 거제시청
6,완료(입양),[개] 말티즈,수컷,0.0,흰,2019,3,광주-서구-2021-00001,2021-01-02 ~2021-01-12,서구 화정동,"21-0005 포포, 잠복고환",광주 동물보호소,광주광역시 서구청
7,종료(자연사),[개] 말티즈,수컷,0.0,흰색,2016,3.82,전남-순천-2021-00002,2021-01-03 ~2021-01-ㄱ13,덕암동 동산교회,"종합백신,코로나예방,광견병예방,레볼루션,프론트라인,사상",순천시유기동물보호소,전라남도 순천시청
8,완료(귀가),[개] 말티즈,수컷,0.0,백,2018,5.00,대전-중구-2021-00002,2021-001,산성로 23 번길 주변,",",대전동물보호센터,대전광역시 중구청
9,완료(입양),[개] 말티즈,수컷,0.0,흰색,2019,2.7,경기-고양-2021-00007,2021-01-04~2021-01-ㄱ74,성사동 원당역부근,,고양시동물보호센터,경기도 고양시청
10,완료(귀가),[개] 말티즈,수컷,1.0,흰색,2015,6,경남-창원3-2021-00003,2021-01-04~2021-01-14,안골바다쪽,"털에 도깨비풀과 배에 얼룩 많음, 순함, 중0, 칩×",진해유기동물보호소,창원시청 진해기술지원과
11,완료(귀가),[개] 말티즈,암컷,0.0,백색,2012,4.0,인천-계양-2021-00003,2021-01-005~2021-01-15,계양구청(다남동 청률장앞),"우측안구출혈,",신영재동물병원,인천광역시 계양구청
12,완료(귀가),[개] 말티즈,수컷,0.0,흰,2020,3.1,인천-서구-2021-00006,2021-01-07~2021-01-18,가좌3동122,순함.잘안겨있음 .착함,가정동물병원,인천광역시 서구청
13,완료(입양),[개] 말티즈,암컷,,백색,2019,3,대전-대덕-2021-00003,2021-01-04~2021-01-14,대전광역시 대덕구 송촌동 선비마을3단지아파트 테니스장 주,,대전동물보호센터,대전광역시 대덕구청
14,완료(귀가),[개] 말티즈,수컷,1.0,백,2017,3.26,경기-수원-2021-00001,2021-01-04~2021-01-14,영생고등학교 앞,두마리 함께 발견,수원시 동물보호센터,경기도 수원시청
15,완료(귀가),[개] 말티즈,수컷,1.0,백,2017,3.14,경기-수원-2021-00002,2021-01-04~2021-01-14,영생고등학교 앞,두마리 함께 발견,수원시 동물보호센터,경기도 수원시청
16,완료(귀가),[개] 말티즈,암컷,0.0,흰색,2011,5,충남-아산-2021-00007',2021-01-04~2021-01-ㄱ13,풍기동 돈까스클럽 앞 대로,13호(관리)7호(공고;,아산시동물보호센터,충청남도 아산시청
17,완료(입양),[개] 말티즈,암컷,0.0,백색,2012,4.0,인천-계양-2021-00007,2021-01-005~2021-01-15,혀성동 유승2차아파트앞,"위쪽 앞니빠져있슴,치석많음",신영재동물병원,인천광역시 계양구청
18,완료(귀가),[개] 말티즈,수컷,,흰색,2016,5,부산-부산진-2021-00001,2021-01-04~2021-01-14,부산진구청 당직실,"5살 추정, 블랙 목태 착용",동물보호관리협회,부산광역시 부산진구청
19,완료(귀가),[개] 말티즈,수컷,0.0,백,2013,1.8,경기-수원-2021-00004,2021-01-04~2021-01-ㄱ74,팔달구 덕영대로 832 택시쉼터 인근,"여월, 치석이 많고 앞니 일부 유실",수원시 동물보호센터,경기도 수원시청
20,완료(귀가),[개] 말티즈,수컷,0.0,흰색,2013,4,경기-평택-2021-00001,2021-01-04~2021-01-14,청룡동 4844,칩내장,평택시유기동물보호소,경기도 평택시청
21,완료(입양),[개] 말티즈,암컷,0.0,흰색,2012,2.6,경기-평택-2021-00024,2021-01-04~2021-01-14,죽리 12,피부병,평택시유기동물보호소,경기도 평택시청
22,완료(입양),[개] 말티즈,수컷,0.0,흰색,2013,2.4,경기-평택-2021-00031,2021-01-04~2021-01-14,연암길 46,피부병,평택시유기동물보호소,경기도 평택시청
23,완료(입양),[개] 말티즈,암컷,0.0,흰색,2021,1,경북-칠곡-2021-00001,2021-01-04~2021-01-71,동명면금암리,목줄없이차길다니는아이 파출소신고,칠곡유기동물보호센터,경상북도 칠곡군정
24,완료(입양),[개] 말티즈,수컷,0.0,흰색,2016,4.5,경남-창원3-2021-00009,2021-01-04~2021-01-14,태백동 금화맨션 부근,"검은색목줄(빨간색 방울), 중×, 칩×",진해유기동물보호소,창원시청 진해기술지원과
25,완료(입양),[개] 말티즈,암컷,0.0,화이트,2018,4,경남-밀양-2021-00041,2021-01-04~2021-01-ㄱ74,,온순,밀양시동물보호센터,경상남도 밀양시청
