,state,kind,sex,neutralization,color,birth,weight,number,period,location,feature,center,department
0,완료(귀가),[개] 말티즈,수컷,1.0,흰,2014,3.5,광주-광산-2021-00105,2021-03-01~2021-03-11,광산구 장덕동,21-0225 짱구,광주 동물보호소,광주광역시 광산구청
1,종료(기증),[개] 말티즈,수컷,1.0,백,2015,2.5,경기-시흥-2021-00120,2021-03-01~2021-03-15,정왕지구대에서 인수,몸 털 미용. 순함.,한국야생동물보호협회,경기도 시흥시청
2,완료(귀가),[개] 말티즈,수컷,1.0,흰색,2019,3.6,전북-전주-2021-00258,2021-03-01~2021-03-10,호성동 Ｌ6동아아파트101동,미용되었고 온순,21세기동물병원,전라북도 전주시청
3,완료(귀가),[개] 말티즈,암컷,0.0,흰색,2019,4,전북-전주-2021-00259,2021-03-01~2021-03-10,인교5길 16주변,분홍색 옷 착용,행복한동물병원,전라북도 전주시청
4,완료(귀가),[개] 말티즈,수컷,,흰색,2019,3.5,전남-목포-2021-00127',2021-03-02 ~2021-03-12,연산119센터부근,"순하고 여성을 잘따름,빗 속을 돌아다님",목포시유기동물보호소,전라남도 목포시청
5,완료(입양),[개] 말티즈,암컷,0.0,흰색,2015,4,전북-남원-2021-00152,2021-03-02 ~2021-03-12,남원시 서문1길 46-5,피부질환,하나동물병원,전라북도 남원시청
6,완료(입양),[개] 말티즈,암컷,0.0,흰색,2015,4,전북-남원-2021-00153,2021-03-02 ~2021-03-12,남원시 서문1길 46-5,피부질환,하나동물병원,전라북도 남원시청
7,완료(귀가),[개] 말티즈,암컷,0.0,흰색,2015,5,부산-북구-2021-00033,2021-03-03 ~2021-03-15,구포3동주민센터,"눈물자국,옷착용,북구1-22호",부산동물보호센터,부산광역시 북구청
8,완료(입양),[개] 말티즈,수컷,1.0,흰색,2019,3.5,부산-강서-2021-00070,2021-03-03 ~ 2021-03-15,명지근린공원 내,강서구1-56호,부산동물보호센터,부산광역시 강서구청
9,완료(귀가),[개] 말티즈,수컷,,백,2017,,대전-대덕-2021-00041,2021-003-03 ~2021-03-15,"대전광역시 대덕구 대화1길24, 깨드림타운 주변",,대전동물보호센터,대전광역시 대덕구청
10,완료(귀가),[개] 말티즈,수컷,0.0,흰색,2011,3,전북-익산-2021-00235,2021-03-03 ~ 2021-03-15,익산시춘포면온천아파트부근에서,많이말라있고 아파보임,익산유기동물보호소,전라북도 익산시청
11,완료(귀가),[개] 말티즈,암컷,,흰색,2011,3,경남-창원2-2021-00046,2021-03-03 ~ 2021-03-15,내서 삼계 대동다숲아파트 뒤 가로수길,초록+회색 조끼 착용,마산유기동물보호소,경상남도 창원시 마산합포회원구청
12,종료(자연사),[개] 말티즈,암컷,,흰색,2017,4,경기-화성-2021-00277,2021-03-05~2021-03-15,봉담읍 동화북길 55-2,"보호인수한 아이 , 사람에 거부반응 없다",남양유기견보호센터,경기도 화성시청
13,완료(귀가),[개] 말티즈,수컷,,흐니색,2016,3,부산-사하-2021-00088,2021-03-15~2021-03-25,"사하로 182,1층","옷착용, 피부병",,부산광역시 사하구정
14,완료(입양),[개] 말티즈,암컷,0.0,백,2016,3.2,경기-수원-2021-00082,2021-03-03 ~2021-03-15,권선구 효원로 256번길 15(세종그라시아 앞),"경기-수원-2021-00066 개체로 종료(반환)처리 되었으나, 반",수원시 동물보호센터,
15,완료(귀가),[개] 말티즈,암컷,,백,2009,4.9,경기-안산-2021-00197,2021-03-03 ~2021-03-15,감골로59 부근,"연두색 개구리 옷. 몸 전체 털미용. 겁 많으나 순함. 백내장, 이",한국야생동물보호협회,경기도 안산시청
16,완료(입양),[개] 말티즈,암컷,0.0,흰색,2020,4.80,경기-광주-2021-00105,2021-03-03 ~2021-03-15,광주시 경안동 일대,"3-7, 칩없음, 말티푸, 미용되어있음, 온순하고 예쁜 아이",광주1\0동물병원초월,경기도 광주시청
17,완료(귀가),[개] 말티즈,암컷,,흰색,2019,3,충북-청주-2021-00180,2021-03-03 ~2021-03-15,금천동 현대아파트 104동 놀이터,"눈물자국이 있고, 빨간 하네스를 착용한 상태",반려동물보호센터,충청북도 청주시청
18,완료(입양),[개] 말티즈,수컷,1.0,하얀색,2014,4.5,서울-강동-2021-00026,2021-03-04~2021-03-15,천호동302-12,양쪽눈 결막염있고 치석 심함,둔촌동물병원,서울특별시 강동구청
19,종료(안락사),[개] 말티즈,수컷,0.0,흰색,2014,2,대구-달서-2021-00049,2021-03-04~2021-03-14,계명 문화 대,"연두색 가슴줄, 미용,피치색옷 착용",대구유기동물보호센터,대구광역시 달서구청
20,완료(귀가),[개] 말티즈,암컷,,백색,2014,2.48,경기-성남-2021-00097',2021-03-04~2021-03-15,중원구청,"신경이상 」마비,주황색옷 착용",펫토피아동물병원,경기도 성남시청
21,종료(자연사),[개] 말티즈,암컷,0.0,흰색,2007,1.68,경북-경산-2021-00110,2021-03-04~2021-03-15,와촌 계당리,계당리 인근 주택가에서 배회하여 구조,경산시유기동물보호소,경상북도 경산시정
22,완료(입양),[개] 말티즈,수컷,1.0,흰색,2015,,대구-서구-2021-00039,2021-03-05~2021-03-15,서구 야락원 근처,,대구시수의사회,대구광역시 서구청
23,완료(귀가),[개] 말티즈,수컷,0.0,흰,2014,2.30,경기-의정부-2021-00052,2021-03-05~2021-03-15,녹양로 23-2 앞 주차장,눈물자국. 코검정. 양귀끝털 더 길. 겁약간/사람따름/암전함.,한국동물구조관리협회,경기도 의정부시청
24,완료(귀가),[개] 말티즈,수컷,1.0,흰색,2011,3.4,경기-남양주-2021-00258,2021-03-05~2021-03-15,덕소리,목줄없고 온순함,남양주동물보호협회,경기도 남양주시청
25,완료(입양),[개] 말티즈,수컷,0.0,흰색,2011,4,충남-아산-2021-00169,2021-03-05~2021-03-15,송악면 송학길 151,272호(관리) 169호(공고),아산시동물보호센터,충청남도 아산시청
26,완료(귀가),[개] 말티즈,암컷,,흰,2015,1.9,서울-광진-2021-00024,2021-003-08~2021-03-ㄱ18,중곡동 73-110 금성슈퍼 앞 신축건물 인근,눈물자국. 코검정. 전신미용흔적(양귀/꼬리털 더길). 양전함.,한국동물구조관리협회,서울특별시 광진구청
27,완료(귀가),[개] 말티즈,암컷,,흰,2011,2.4,서울-광진-2021-00026,2021-03-08 ~2021-03-18,중곡동 73-110 금성슈퍼 앞 신축건물 인근,고령.백내장.코갈색.앞니몇개안남음.사람따름/양전.양슬개골,한국동물구조관리협회,서울특별시 광진구청
28,보호중,[개] 말티즈,암컷,,흰색,2021,,충남-예산-2021-00068,2021-03-05 ~2021-03-15,예산읍 예산로 164번안길 12,길에서 포획,흙동물병원,충청남도 예산군정
29,완료(귀가),[개] 말티즈,암컷,0.0,흰색,2015,4.5,부산-서구-2021-00051,2021-03-07~2021-03-17,충무대로 41,서구1-32호,부산동물보호센터,부산광역시 서구청
30,완료(입양),[개] 말티즈,암컷,0.0,백,2013,3.8,경기-수원-2021-00091,2021-03-08 ~2021-03-18,팔달구 지동사거리,"배꼽탈장, 전구치 소실",수원시 동물보호센터,경기도 수원시청
31,완료(귀가),[개] 말티즈,수컷,1.0,흰색,2017,3.05,대구-수성-2021-00076,2021-03-17~2021-03-29,고산역 3번출구 안쪽 골목길,오른쪽 앞다리 발목과 발등이 꿔메져있음. 플라스틱넥카라 착,감자동물병원,대구광역시 수성구청
32,완료(귀가),[개] 말티즈,수컷,1.0,흰,2013,3,서울-강서-2021-00019,2021-03-06 ~2021-03-16,강서구청 인근,"눈곱. 눈물자국, 눈주변 변색. 코연갈색+검정. 치석심함. 사람",한국동물구조관리협회,서울특별시 강서구청
33,완료(귀가),[개] 말티즈,암컷,,백색,2019,2.26,경기-성남-2021-00101,2021-003-06~2021-03ㄱ76,중앙파출소,칩 있어서 주인연락됨.,펫토피아동물병원,경기도 성남시청
34,완료(입양),[개] 말티즈,수컷,0.0,백,2020,3,경북-포항-2021-00255,2021-03-06 ~2021-03-16,경상북도 포항시 북구 대이로 188 이마트,"말티푸느낌,다리가긴편,부정교합,하네스 줄 착용,미용되어있",영일동물플러스,경상북도 포항시청
35,완료(입양),[개] 말티즈,암컷,,흰색,2011,,경남-창원2-2021-00050,2021-03-07~2021-03-18,자산동 주택가 골목길,"애견하우스와 함께 유기됨, 분홍색 방울 목걸이 착용, 백내장",마산유기동물보호소,경상남도 창원시 마산합포회원구청
