,state,kind,sex,neutralization,color,birth,weight,number,period,location,feature,center,department
0,완료(귀가),[개] 진도견,수컷,0.0,흰색,2016,18,강원-속초-2020-00411,2020-12-01~2020-12-11,금호콘도 주차장,주황색목줄착용,속초시유기동물보호소,강원도 속초시청
1,종료(안락사),[개] 진도견,수컷,0.0,흰색,2014,12,경북-경산-2020-00932,2020-12-001~2020-12-11,대정동,"견주의 작고로 인하여 보호소에 입소하여 보호중, 성격이 순하",경산시유기동물보호소,경상북도 경산시청
2,종료(자연사),[개] 진도견,암컷,,검은색,2017,23,경남-거창-2020-00472,2020-72-001~2020-12-11,"위천면 빼재로 924, 신토불이옹기 인근","3세 추정, 교통사고부상 추정됨",나래동물병원,경상남도 거창군청
3,완료(귀가),[개] 진도견,수컷,0.0,흰색,2018,23.00,인천-중구-2020-00824,2020-12002 ~2020-12-ㄱ14,제고후문기상대슈퍼앞,"검정색 목줄하고있고,비교적 양호한 편임",경동동물병원,인천광역시 중구청
4,종료(자연사),[개] 진도견,수컷,0.0,베이지,2016,21.54,경북-상주-2020-00495,2020-12-21~2020-12-31,상주소방서,매우 사나움,다온유기동물보호센터,경상북도 상주시청
5,종료(안락사),[개] 진도견,수컷,0.0,흰색,2017,22,인천-부평-2020-01041,2020-12-03 ~2020-12-14,산곡동101-26,중성황안됨.사나운편,삼산종합동물병원,인천광역시 부평구청
6,완료(입양),[개] 진도견,수컷,0.0,흰색,2020,2,전북-익산-2020-01385,2020-12-03 ~2020-12-14,익산시덕기동98,생후45일정도 순하고잘생겼음,익산유기동물보호소,전라북도 익산시청
7,완료(입양),[개] 진도견,암컷,0.0,흰색,2020,,전북-익산-2020-01386,2020-72-003 ~2020-12-ㄱ74,익산시덕기동98,생후45일정도 순하고잘생겼음,익산유기동물보호소,전라북도 익산시청
8,완료(입양),[개] 진도견,암컷,0.0,흰색,2020,,전북-익산-2020-01387',2020-12-03 ~2020-12-14,익산시덕기동98,생후45일정도 건강하고순하며 잘생겼음,익산유기동물보호소,전라북도 익산시청
9,종료(자연사),[개] 진도견,암컷,0.0,흰색,2020,,전북-익산-2020-01388,2020-72-003 ~2020-12-ㄱ74,익산시덕기동98,생후45일정도 순하고잘생겼음,익산유기동물보호소,전라북도 익산시청
10,완료(입양),[개] 진도견,암컷,0.0,흰색,2020,,전북-익산-2020-01389,2020-72-003 ~2020-12-ㄱ74,익산시덕기동98,생후45일정도 순하고잘생겼음,익산유기동물보호소,전라북도 익산시청
11,종료(자연사),[개] 진도견,암컷,0.0,흰색,2020,30,전북-익산-2020-01390,2020-ㄱ72003 ~2020-12-ㄱ74,익산시모현동익산경찰서,생후60일정도 순하고잘생김,익산유기동물보호소,전라북도 익산시청
12,종료(안락사),[개] 진도견,수컷,0.0,흰색.갈색,2017,17,인천-부평-2020-01042,2020-12-03 ~2020-12-ㄱ74,산곡천주교회,중성화안됨.겁이많은편,삼산종합동물병원,인천광역시 부평구청
13,완료(귀가),[개] 진도견,암컷,,흰색,2015,25,경기-부천-2020-01146,2020-12-03 ~2020-12-14,역곡로 455,"목부위 상처, 경계심 있음.",가나동물병원,경기도 부천시청
14,완료(입양),[개] 진도견,수컷,,흰색,2020,10,충남-계룡-2020-00067',2020-12-03 ~2020-12-14,충남 계룡시 엄사면 번영로 46,흰색의 진도견,계룡시유기동물보호소,충정남도 계룡시청
15,보호중,[개] 진도견,수컷,,흰색,2020,2,충남-계룡-2020-00068,2020-12-03 ~2020-12-14,충남 계룡시 두마면 입암리 산33-1,흰색의 진도견 강아지,계룡시유기동물보호소,충정남도 계룡시청
16,완료(입양),[개] 진도견,수컷,,흰색,2020,2,충남-계룡-2020-00069,2020-12-03 ~2020-12-14,충남 계룡시 두마면 입암리 산33-1,흰색의 진도견 강아지,계룡시유기동물보호소,충정남도 계룡시청
17,완료(입양),[개] 진도견,암컷,,흰색,2020,2,충남-계룡-2020-00070,2020-12-03 ~2020-12-14,충남 계룡시 두마면 입암리 산33-1,흰색의 진도견 강아지,계룡시유기동물보호소,충정남도 계룡시청
18,완료(입양),[개] 진도견,수컷,,흰색,2020,2,충남-계룡-2020-00071,2020-12-03 ~2020-12-14,충남 계룡시 두마면 입암리 산33-1,흰색의 진도견 강아지,계룡시유기동물보호소,충청남도 계룡시청
19,완료(귀가),[개] 진도견,수컷,0.0,검갈색,2018,21.5,전남-여수-2020-00516,2020-12-03 ~2020-12-14,율촌면 득실길 28,온순함 주황색 목띠 착용,유기동물보호소,전라남도 여수시청
20,완료(입양),[개] 진도견,암컷,0.0,흰색,2020,25,충남-아산-2020-01238,2020-12005~2020-12-14,신용화동 아프리카사거리 인근,1927호(관리) 1238호(공고) 온순함,아산시동물보호센터,충청남도 아산시청
21,완료(귀가),[개] 진도견,수컷,0.0,황,2019,20.00,대전-중구-2020-00656,2020-12-07~2020-12-17,사정동 438-16 번지 주변,",",대전동물보호센터,대전광역시 중구청
22,종료(안락사),[개] 진도견,수컷,0.0,흰색,2015,20,충북-괴산-2020-00315,2020-12-14~2020-12-24,청천면 도원어릉길 59,"관리상태 양호, 건강함. 사나움.",괴산증평동물보호센터,충청북도 괴산군청
23,완료(귀가),[개] 진도견,암컷,0.0,갈색,2016,16,서울-관악-2020-00670,2020-72004~2020-12-ㄱ14,은천로24길20,"겁이많고 순함,집없음",러브펫종합동물병원,서울특별시 관악구정
24,완료(귀가),[개] 진도견,수컷,0.0,흰색,2014,230,경북-문경-2020-00423,2020-12004~2020-12-ㄱ11,소방서,성질 날카롭고 콩에 상처있음,종합가축병원,경상북도 문경시정
25,완료(입양),[개] 진도견,수컷,,검은색,2018,13,강원-양양-2020-00314,2020-12-005~2020-12-15,강원도 양양군 서면 구룡령로 3036,"사람을 약간 경계하나, 만질 수 있음",양양군유기동물보호소,강원도 양양군청
26,완료(입양),[개] 진도견,수컷,0.0,흰색,2020,2.54,대구-서구-2020-00648,2020-12005~2020-12-715,내당1동 30-8,2개월령,대구시수의사회,대구광역시 서구청
27,보호중,[개] 진도견,암컷,0.0,흰색,2016,14,충북-청주-2020-01741,2020-12-005~2020-12-15,오창읍 성산2길 421 청주 자모원,나무화단에 새끼를 낳은 소심하고 겁많은 진도믹스견,반려동물보호센터,충청북도 청주시청
28,보호중,[개] 진도견,수컷,0.0,황색,2018,21.5,경기-고양-2020-01314,2020-12-07~2020-12-77,효자동147-2 부근,적색목줄 착용,고양시동물보호센터,경기도 고양시청
29,완료(입양),[개] 진도견,암컷,,호피무늬,2017,,대구-수성-2020-00984,2020-12006 ~2020-12-16,지산그린빌라앞,-,제니스동물병원,대구광역시 수성구청
30,완료(귀가),[개] 진도견,수컷,,흰색,2017,15,,2020-12-007~2020-12-77,미추홀구 주안동 867-102,"빨강색 가슴 줄 착용, 순함, 사람좋아함",인천광역시 수의사회,인천광역시 미추홀구청
31,종료(자연사),[개] 진도견,수컷,0.0,흰색,2017,19.94,충남-서산-2020-00724,2020-12-007~2020-12-14,효성해린턴,.,성심동물의료센터,충청남도 서산시청
32,완료(귀가),[개] 진도견,수컷,,흑황색,2018,14,대전-대덕-2020-00474,2020-12-08~2020-1278,대전광역시 송촌동 선비마을2단지아파트 산책로 주변,,대전동물보호센터,대전광역시 대덕구정
33,완료(입양),[개] 진도견,암컷,0.0,흰색,2018,16,전북-익산-2020-01403,2020-12-08 ~2020-12-18,익산시팔봉동공설운동장,갈색목태에다 쇠줄까지달려있으며 사나운편임,익산유기동물보호소,전라북도 익산시정
34,종료(안락사),[개] 진도견,암컷,0.0,흰색,2017,14.8,경북-경산-2020-00945,2020-12-,신천동,견주의 병세악화로 인하여 더 이상 돌볼 수 없어 보호소 입소해|,경산시유기동물보호소,경상북도 경산시청
35,종료(안락사),[개] 진도견,수컷,,흰색,2015,30,경남-의령-2020-00176,2020-12-08 ~2020-12-18,의령읍 벽화로 7길 21,"검은목줄, 공격성 있음",하영효,경상남도 의령군청
36,완료(귀가),[개] 진도견,암컷,0.0,흰색,2020,7,전북-익산-2020-01404,2020-12-10 ~2020-12-21,익산시송학동지안리즈아파트,생후5개월정도 아주순하고이,익산유기동물보호소,전라북도 익산시청
37,완료(귀가),[개] 진도견,암컷,,흰,2016,12,서울-양천-2020-00318,2020-12-009 ~2020-12-21,신월동227-1 (다음12-7),치석있으며온순하고잘따르며눈물자국약간있으며경계심없이,강현림동물병원,서울특별시 양천구정
38,종료(안락사),[개] 진도견,암컷,,흰색,2017,12,충남-논산-2020-00722,2020-12-09 ~2020-12-21,연산면 화학1길 27 근처,건강양호,논산시청,충청남도 논산시청
39,완료(입양),[개] 진도견,암컷,0.0,갈색,2018,14,전북-익산-2020-01406,2020-12-10 ~2020-12-21,익산시덕기동13,새끼5마리을낭고살아 많이말라있으며 잘생겼음,익산유기동물보호소,전라북도 익산시청
40,완료(입양),[개] 진도견,수컷,0.0,흰색,2020,1.5,전북-익산-2020-01407',2020-12-10 ~2020-12-21,익산시덕기동13,생후45일정도 건강하고잘생겼음,익산유기동물보호소,전라북도 익산시청
41,완료(입양),[개] 진도견,수컷,0.0,갈색,2020,1.5,전북-익산-2020-01408,2020-12-10 ~2020-12-21,익산시덕기동13,생후45일정도 순하고잘생겼음,익산유기동물보호소,전라북도 익산시청
42,완료(입양),[개] 진도견,수컷,0.0,검정,2020,1.5,전북-익산-2020-01409,2020-12-10 ~2020-12-21,익산시덕기동13,생후45일정도 순하고잘생겼음,익산유기동물보호소,전라북도 익산시청
43,종료(자연사),[개] 진도견,수컷,0.0,검정,2018,14,전북-익산-2020-01412,2020-12-10 ~2020-12-21,익산시영등동동부시장,순하고영리함,익산유기동물보호소,전라북도 익산시청
44,종료(자연사),[개] 진도견,암컷,0.0,갈색,2016,15,전북-익산-2020-01417,2020-12-10 ~2020-12-21,익산시영등동동부시장,빨강색목태을하고있고 사나운편임,익산유기동물보호소,전라북도 익산시청
45,종료(안락사),[개] 진도견,수컷,0.0,하양,2018,17,경기-안성-2020-01055,2020-12-14~2020-12-24,일죽면 송천리 256-24,없음,이성준동물병원,경기도 안성시청
46,완료(입양),[개] 진도견,암컷,0.0,흰색,2015,13,경남-남해-2020-00386,2020-12-14~2020-12-24,경남 남해군 남해읍 선소리76번길,야생들개,남해군유기동물보호소,경상남도 남해군정
47,보호중,[개] 진도견,수컷,0.0,"흑색, 흰색",2015,19.00,경기-이천-2020-00904,2020-72-10 ~2020-12-21,호법면 유산리,"음, 사람을 좋아하며, 매우온순함",위더스 동물보호센터,경기도 이천시청
48,종료(안락사),[개] 진도견,수컷,,백색,2018,20,경남-거창-2020-00479,2020-72-70 ~2020-12-21,남상면 오계마을,우측전지좌상,보경동물병원,경상남도 거창군청
49,종료(안락사),[개] 진도견,암컷,0.0,흰색,2018,13,세종-세종-2020-00316,2020-12-10 ~2020-12-17,금남면 성강리 84-2,3개월 전 주택마당으로 들어옴,세종유기동물보호센터,세종특별자치시정
50,완료(귀가),[개] 진도견,암컷,,흰색,2018,,전남-목포-2020-01239,2020-12-11 ~2020-12-21,근대역사1관부근,"빨강색목줄,발정중,순함",목포시유기동물보호소,전라남도 목포시청
