,state,kind,sex,neutralization,color,birth,weight,number,period,location,feature,center,department
345,완료(귀가),[개] 진도견,수컷,0.0,흰색,2013,27.0,대구-동구-2021-00101,2021-05-07~2021-05-17,동부 119,빨간목줄,대구유기동물보호센터,대구광역시 동구청
346,완료(귀가),[개] 진도견,암컷,,연갈색,2019,22.0,대구-북구-2021-00095,2021-05-007~2021-05-17,강북 119,빨간목줄,대구유기동물보호센터,대구광역시 북구청
347,보호중,[개] 진도견,수컷,0.0,흰색,2018,24.0,대구-달서-2021-00124,2021-05-007~2021-05-17,호림동 신성산업 부근,.,대구유기동물보호센터,대구광역시 달서구청
348,완료(귀가),[개] 진도견,수컷,0.0,흰색,2019,20.0,경기-고양-2021-00403,2021-05-007~2021-05-17,식사동 72-1 성호농원 부근,"파란색 목줄착용,쇠사슬로 된 리드줄 착용",고양시동물보호센터,경기도 고양시청
349,완료(귀가),[개] 진도견,수컷,0.0,황색(황구),2019,11.0,경북-군위-2021-00047',2021-05-07~2021-05-17,군위군 군위읍 군청로 144 김수환 추기경 가는 길목,다리를 조금 절뚝 거림.,우성동물병원,경상북도 군위군청
350,보호중,[개] 진도견,암컷,0.0,흰색,2018,14.0,전북-익산-2021-00545,2021-05-09 ~ 2021-05-20,익산시금마면서고도리맛나먹거리촌식당,앞다리가다처보이며 많이말라있고사나운편임,익산유기동물보호소,전라북도 익산시청
351,완료(입양),[개] 진도견,수컷,0.0,흰색,2021,2.0,전북-익산-2021-00546,"2021-05-09 ~2021-05-20""",익산시금마면서고도리맛나먹거리촌식당,생후45일정도 순하고잘생것음,익산유기동물보호소,전라북도 익산시청
352,보호중,[개] 진도견,수컷,0.0,"흰색,갈색",2020,12.0,부산-강서-2021-00194,2021-05-10 ~2021-05-20,강동동 491-640,"활발한 성격,신고인이 직접 데려옴,강서구1-145호",부산동물보호센터,부산광역시 강서구청
353,완료(귀가),[개] 진도견,암컷,,흰색,2019,18.0,대구-수성-2021-00157,2021-05-08 ~2021-05-18,수성119구조대,아주 순함,제니스동물병원,대구광역시 수성구청
354,보호중,[개] 진도견,암컷,,백색,2014,12.0,대전-서구-2021-00166,2021-005-10 ~2021-05-20,용문동 재개발 지역 인근,목태,대전동물보호센터,대전광역시 서구청
355,완료(귀가),[개] 진도견,암컷,,백,2020,15.0,대전-대덕-2021-00104,2021-05-10 ~2021-05-20,,,대전동물보호센터,대전광역시 대덕구정
356,보호중,[개] 진도견,수컷,0.0,흰색,2018,28.0,경기-광주-2021-00278,2021-05-10 ~2021-05-20,광주시 초월읍 대쌍령리 일대,"5-30, 칩없음, 교통사고",광주1\0동물병원초월,경기도 광주시청
357,보호중,[개] 진도견,수컷,,화이트,2019,11.6,충남-서산-2021-00243,2021-05-10 ~2021-05-17,수석동 648-12,"소심, 조용함, 겁있음",서산시 동물보호센터,충청남도 서산시청
358,완료(귀가),[개] 진도견,수컷,0.0,"연,갈색",2017,25.0,강원-원주-2021-00306,2021-05-11~2021-05-21,단계한증막주차장,털갈이중,원주유기동물보호센터,강원도 원주시청
359,종료(자연사),[개] 진도견,수컷,0.0,흰색,2016,20.0,대구-달성-2021-00211,2021-05-10 ~2021-05-20,구라리 공장 마당,뒷다리 올무에 걸린 상처가 심한 상태임.,화원연합동물병원,대구광역시 달성군청
360,보호중,[개] 진도견,수컷,0.0,흰색,2020,11.5,경기-고양-2021-00415,2021-05-10 ~2021-05-20,중산동 중산마을9710단지,파란색 목줄 착용,고양시동물보호센터,경기도 고양시청
361,보호중,[개] 진도견,암컷,0.0,연갈색.흰색,2020,16.8,경기-파주-2021-00246,2021-05-10 ~2021-05-20,금릉동 443-5 인근,포리 중간부분 검정색반점. 순함 사람을 잘따름.,파주독 애견호텔,경기도 파주시청
362,완료(입양),[개] 진도견,암컷,0.0,흰색,2020,12.0,경기-파주-2021-00247,2021-05-10 ~2021-05-20,파평면 파평산로 478번길 37 파평초등학교 근처,"심장사상충 치료가 필요 , 새끼를 낳은지 얼마 안되서 유선이",미엘동물병원,경기도 파주시청
363,보호중,[개] 진도견,암컷,0.0,호피,2019,18.0,강원-강릉-2021-00223,2021-05-10 ~2021-05-20,주문진 새쪽2길 가정집앞,온순함,강릉시동물사랑센터,강원도 강릉시청
364,완료(귀가),[개] 진도견,수컷,0.0,흰색,2020,12.0,충북-괴산-2021-00108,2021-05-10 ~2021-05-20,괴산군 시계탑사거리 인근,목에 쇠사슬 달고 배회하고 있었음. 순하고 건강함,괴산증평동물보호센터,충청북도 괴산군청
365,완료(귀가),[개] 진도견,암컷,0.0,흰색,2020,10.0,충북-괴산-2021-00109,2021-05-10 ~2021-05-20,괴산군 시계탑사거리 인근,목에 쇠사슬 달고 배회하고 있었음. 순하고 건강함,괴산증평동물보호센터,충청북도 괴산군청
366,완료(귀가),[개] 진도견,수컷,,흰색,2020,8.0,충남-논산-2021-00189,2021-05-10 ~2021-05-20,내동1242번지 근처,건강양호,논산시청,충청남도 논산시청
